Afghanistan,52.60666666666666,1.3,52.39,0.20466666666666666,34,4.7,29.833333333333332,,2.85,,61.68,,0.5 [0.29-0.78],,43.39666666666667,14.91,,29.0,,44.48333333333333,189 [122-270],50.5,1.23,701 [501-1020],13765392,0.036,0.5,
Albania,69.04666666666667,,89.88,6.73,58,6.0,17.333333333333332,39.800000000000004,,,77.87666666666667,,1.29 [0.83-1.91],,,,,76.0,29.866666666666664,97.62333333333333,17 [14-19],,0.4266666666666667,15 [8-25],16,,,
Algeria,65.99666666666667,,88.69,0.93,76,3.233333333333333,14.366666666666667,18.336666666666666,,,76.56333333333333,,0.22 [0.12-0.34],,81.50333333333333,0.0,,95.0,19.266666666666666,86.46,75 [57-94],,0.7999999999999999,114 [67-199],7561,,,
Angola,53.70666666666667,,26.71,8.06,38,5.033333333333333,16.933333333333334,,,,61.78333333333333,,4.85 [3.29-6.81],,24.52,200.0,,48.0,,43.70333333333334,366 [237-523],,2.9600000000000004,251 [178-353],18534219,,,
Antigua and Barbuda,66.80333333333333,45.09,96.74,6.016666666666667,73,0.7666666666666666,22.599999999999998,,,,76.11,,0.38 [0.04-4.06],,,,,95.0,,87.5,4.3 [3.7-5],100.0,0.37666666666666665,43 [25-70],158,,,
Argentina,66.83333333333333,,92.98,9.666666666666666,76,8.9,16.233333333333334,,,,76.13,,0.01 [0.01-0.01],,,0.0,,95.0,24.599999999999998,88.95333333333333,26 [22-30],99.6,0.65,41 [39-44],5406,,,
Armenia,65.93666666666667,49.54,99.6,6.053333333333334,66,7.166666666666667,23.433333333333334,46.9,29.14,,74.40666666666667,,0.25 [0.04-2.05],,91.91000000000001,0.0,,95.0,27.900000000000002,91.59666666666668,50 [38-63],,0.68,28 [23-34],39044,3.69,0.49,
Australia,70.56666666666666,122.0,100.0,10.866666666666667,86,13.799999999999999,9.3,73.88,34.89,,82.28666666666668,,0.15 [0.09-0.23],,,,,95.0,17.7,99.99,6 [5.2-7],99.7,0.19999999999999998,6 [5-8],17476,5.78,8.47,
Austria,70.37333333333333,70.14,100.0,12.196666666666667,79,16.133333333333333,11.533333333333333,96.32666666666667,51.04,,80.95666666666666,,0.32 [0.15-0.62],,,,,95.0,31.46666666666667,99.98,7.5 [6.4-8.6],98.5,0.24,5 [4-7],65,5.65,7.03,
Azerbaijan,63.10333333333333,,79.28,4.64,63,2.6999999999999997,22.666666666666668,92.36,,,70.68,,0.27 [0.13-0.5],,83.24,0.0,,95.0,20.666666666666668,92.17999999999999,71 [54-90],99.8,0.5833333333333334,27 [23-33],1699962,,,
Bahamas,64.17,,98.89,4.6066666666666665,73,1.7666666666666666,15.733333333333334,,,,72.91000000000001,,0.31 [0.01-6.32],,,,,95.0,10.966666666666667,94.93,19 [16-22],98.0,0.14333333333333334,74 [52-109],4127,,,
Bahrain,66.11333333333333,24.94,100.0,1.16,75,5.400000000000001,11.766666666666666,96.0,9.26,,76.53333333333333,,0.18 [0.13-0.24],,,,,95.0,25.433333333333334,100.0,15 [13-17],99.9,0.19233333333333333,15 [11-21],6,0.98,1.62,
Bangladesh,63.77333333333333,2.75,96.43,0.021,46,6.066666666666666,21.7,30.03,4.86,,73.62333333333333,,1.38 [0.97-1.91],,37.07,2.72,,18.0,40.733333333333334,46.39000000000001,221 [161-291],,0.31,200 [155-263],49839493,0.42,0.78,
Barbados,67.2,,98.47,9.546666666666667,76,0.7333333333333334,16.433333333333334,,,,76.19666666666667,,0.34 [0.02-4.81],,88.47,,,95.0,8.9,96.36,0 [0-0],99.0,0.21,31 [20-44],390,,,
Belarus,64.98666666666666,110.0,95.94,12.406666666666666,74,27.2,25.099999999999998,80.63,51.91,,73.72333333333334,,0.2 [0.03-1.53],,,,7.636666666666667,95.0,28.0,97.43,50 [38-63],,2.7433333333333336,3 [2-4],0,5.92,3.63,
Belgium,69.97666666666667,118.1,100.0,11.923333333333332,83,20.166666666666668,11.6,97.1,30.14,,80.68333333333334,,0.18 [0.1-0.29],,,,,95.0,25.666666666666668,99.48666666666666,9.5 [8.1-11],,0.23666666666666666,5 [4-7],9,7.35,12.09,
Belize,65.13,1744.0,95.65,6.766666666666667,66,4.8,22.3,,,,74.16000000000001,,1.49 [0.98-2.21],,87.07000000000001,0.036,,83.0,,87.48333333333333,25 [21-29],89.0,0.5133333333333333,43 [31-55],7300,,,
Benin,54.28666666666667,,57.87,2.99,40,9.933333333333334,19.7,,,,61.95666666666667,,5.55 [3.62-8.14],,10.583333333333334,411.8,,5.0,8.266666666666667,16.55,60 [39-86],,3.58,421 [316-584],7029345,,,
Bhutan,62.6,14.7,96.13,0.4066666666666667,59,11.466666666666667,23.833333333333332,,3.45,,72.21666666666667,,0.81 [0.55-1.22],,,0.063,,74.0,,67.96333333333334,165 [127-209],89.0,0.6066666666666666,203 [145-310],227111,,0.21,
Bolivia (Plurinational State of),62.73333333333333,11.91,75.41,4.6499999999999995,64,12.366666666666667,17.400000000000002,22.44,,,71.52,,0.2 [0.08-0.49],,24.233333333333334,1.89,6.096666666666667,82.0,,52.66333333333333,117 [76-167],72.8,2.11,168 [125-223],1883582,,,
Bosnia and Herzegovina,66.95333333333333,61.8,94.85,7.0,60,8.966666666666667,18.333333333333332,15.635000000000002,21.62,,76.30333333333333,,0.3 [0.03-2.15],,97.20333333333333,,8.13,45.0,39.56666666666667,95.44,40 [30-50],99.9,0.53,10 [5-16],0,2.4,1.29,
